fishes ,3040,,sharks ,1000,,total ,4040,,Tick ,1
fishes ,4770,,sharks ,1000,,total ,5770,,Tick ,2
fishes ,3925,,sharks ,1000,,total ,4925,,Tick ,3
fishes ,5821,,sharks ,1000,,total ,6821,,Tick ,4
fishes ,5248,,sharks ,978,,total ,6226,,Tick ,5
fishes ,6352,,sharks ,1914,,total ,8266,,Tick ,6
fishes ,5302,,sharks ,1892,,total ,7194,,Tick ,7
fishes ,5405,,sharks ,1874,,total ,7279,,Tick ,8
fishes ,4676,,sharks ,1851,,total ,6527,,Tick ,9
fishes ,4595,,sharks ,1828,,total ,6423,,Tick ,10
fishes ,4039,,sharks ,1708,,total ,5747,,Tick ,11
fishes ,3577,,sharks ,3293,,total ,6870,,Tick ,12
fishes ,2143,,sharks ,3221,,total ,5364,,Tick ,13
fishes ,1279,,sharks ,3134,,total ,4413,,Tick ,14
fishes ,696,,sharks ,3018,,total ,3714,,Tick ,15
fishes ,436,,sharks ,2781,,total ,3217,,Tick ,16
fishes ,263,,sharks ,1510,,total ,1773,,Tick ,17
fishes ,179,,sharks ,1791,,total ,1970,,Tick ,18
fishes ,79,,sharks ,1360,,total ,1439,,Tick ,19
fishes ,96,,sharks ,1170,,total ,1266,,Tick ,20
fishes ,79,,sharks ,1065,,total ,1144,,Tick ,21
fishes ,137,,sharks ,968,,total ,1105,,Tick ,22
fishes ,122,,sharks ,49,,total ,171,,Tick ,23
fishes ,218,,sharks ,44,,total ,262,,Tick ,24
fishes ,190,,sharks ,41,,total ,231,,Tick ,25
fishes ,320,,sharks ,40,,total ,360,,Tick ,26
fishes ,299,,sharks ,39,,total ,338,,Tick ,27
fishes ,487,,sharks ,38,,total ,525,,Tick ,28
fishes ,486,,sharks ,32,,total ,518,,Tick ,29
fishes ,740,,sharks ,64,,total ,804,,Tick ,30
fishes ,728,,sharks ,62,,total ,790,,Tick ,31
fishes ,1024,,sharks ,62,,total ,1086,,Tick ,32
fishes ,1040,,sharks ,62,,total ,1102,,Tick ,33
fishes ,1396,,sharks ,61,,total ,1457,,Tick ,34
fishes ,1424,,sharks ,60,,total ,1484,,Tick ,35
fishes ,1817,,sharks ,120,,total ,1937,,Tick ,36
fishes ,1831,,sharks ,120,,total ,1951,,Tick ,37
fishes ,2244,,sharks ,120,,total ,2364,,Tick ,38
fishes ,2279,,sharks ,120,,total ,2399,,Tick ,39
fishes ,2748,,sharks ,119,,total ,2867,,Tick ,40
fishes ,2810,,sharks ,118,,total ,2928,,Tick ,41
fishes ,3269,,sharks ,234,,total ,3503,,Tick ,42
fishes ,3260,,sharks ,233,,total ,3493,,Tick ,43
fishes ,3680,,sharks ,232,,total ,3912,,Tick ,44
fishes ,3726,,sharks ,231,,total ,3957,,Tick ,45
fishes ,4159,,sharks ,226,,total ,4385,,Tick ,46
fishes ,4210,,sharks ,194,,total ,4404,,Tick ,47
fishes ,4599,,sharks ,348,,total ,4947,,Tick ,48
fishes ,4600,,sharks ,332,,total ,4932,,Tick ,49
fishes ,4951,,sharks ,328,,total ,5279,,Tick ,50
fishes ,4987,,sharks ,317,,total ,5304,,Tick ,51
fishes ,5376,,sharks ,304,,total ,5680,,Tick ,52
fishes ,5441,,sharks ,238,,total ,5679,,Tick ,53
fishes ,5813,,sharks ,452,,total ,6265,,Tick ,54
fishes ,5785,,sharks ,444,,total ,6229,,Tick ,55
fishes ,6108,,sharks ,435,,total ,6543,,Tick ,56
fishes ,6102,,sharks ,422,,total ,6524,,Tick ,57
fishes ,6385,,sharks ,404,,total ,6789,,Tick ,58
fishes ,6422,,sharks ,305,,total ,6727,,Tick ,59
fishes ,6658,,sharks ,562,,total ,7220,,Tick ,60
fishes ,6543,,sharks ,547,,total ,7090,,Tick ,61
fishes ,6693,,sharks ,533,,total ,7226,,Tick ,62
fishes ,6633,,sharks ,526,,total ,7159,,Tick ,63
fishes ,6721,,sharks ,493,,total ,7214,,Tick ,64
fishes ,6669,,sharks ,368,,total ,7037,,Tick ,65
fishes ,6681,,sharks ,678,,total ,7359,,Tick ,66
fishes ,6463,,sharks ,665,,total ,7128,,Tick ,67
fishes ,6354,,sharks ,653,,total ,7007,,Tick ,68
fishes ,6239,,sharks ,636,,total ,6875,,Tick ,69
fishes ,6175,,sharks ,614,,total ,6789,,Tick ,70
fishes ,6134,,sharks ,483,,total ,6617,,Tick ,71
fishes ,6022,,sharks ,879,,total ,6901,,Tick ,72
fishes ,5790,,sharks ,851,,total ,6641,,Tick ,73
fishes ,5585,,sharks ,819,,total ,6404,,Tick ,74
fishes ,5471,,sharks ,796,,total ,6267,,Tick ,75
fishes ,5340,,sharks ,751,,total ,6091,,Tick ,76
fishes ,5322,,sharks ,541,,total ,5863,,Tick ,77
fishes ,5183,,sharks ,986,,total ,6169,,Tick ,78
fishes ,4974,,sharks ,958,,total ,5932,,Tick ,79
fishes ,4799,,sharks ,939,,total ,5738,,Tick ,80
fishes ,4747,,sharks ,915,,total ,5662,,Tick ,81
fishes ,4709,,sharks ,845,,total ,5554,,Tick ,82
fishes ,4758,,sharks ,586,,total ,5344,,Tick ,83
fishes ,4729,,sharks ,1055,,total ,5784,,Tick ,84
fishes ,4562,,sharks ,1024,,total ,5586,,Tick ,85
fishes ,4492,,sharks ,1001,,total ,5493,,Tick ,86
fishes ,4529,,sharks ,978,,total ,5507,,Tick ,87
fishes ,4621,,sharks ,911,,total ,5532,,Tick ,88
fishes ,4750,,sharks ,638,,total ,5388,,Tick ,89
fishes ,4787,,sharks ,1114,,total ,5901,,Tick ,90
fishes ,4657,,sharks ,1081,,total ,5738,,Tick ,91
fishes ,4617,,sharks ,1051,,total ,5668,,Tick ,92
fishes ,4617,,sharks ,1013,,total ,5630,,Tick ,93
fishes ,4692,,sharks ,961,,total ,5653,,Tick ,94
fishes ,4737,,sharks ,708,,total ,5445,,Tick ,95
fishes ,4757,,sharks ,1271,,total ,6028,,Tick ,96
fishes ,4587,,sharks ,1223,,total ,5810,,Tick ,97
fishes ,4558,,sharks ,1187,,total ,5745,,Tick ,98
fishes ,4612,,sharks ,1136,,total ,5748,,Tick ,99
fishes ,4677,,sharks ,1075,,total ,5752,,Tick ,100
fishes ,4793,,sharks ,711,,total ,5504,,Tick ,101
fishes ,4775,,sharks ,1271,,total ,6046,,Tick ,102
